model,cv_mean_ic,cv_icir,cv_hit_rate,oos_mean_ic,oos_icir
Full LightGBM,0.031801588821359465,0.32134683093149335,0.5892857142857143,0.02398401039714218,0.21817133798033245
Price-only,0.029089505927613977,0.27257700852224576,0.6190476190476191,0.0013849215024384542,0.010777659194771952
Fundamental-only,0.028672975022786457,0.3870919945979063,0.6488095238095238,0.021812243218738998,0.25483247357438626
SUE-only,-0.00013857179532574999,-0.0015338586644454814,0.475,0.009578123220555968,0.10820913718228387
