date,ic,n_stocks
2019-01-31,0.04036605143191687,1641
2019-02-28,0.061310479822938316,1675
2019-03-29,0.04271891430387045,1643
2019-04-30,-0.17350988521736277,1653
2019-05-31,0.09582251137101008,1650
2019-06-28,-0.032720915111810064,1646
2019-07-31,-0.1464083035337649,1646
2019-08-30,0.04371958626741085,1631
2019-09-30,0.1035520318961843,1621
2019-10-31,0.15305448292758897,1635
2019-11-29,0.05143565054878402,1639
2019-12-31,-0.10592824243826716,1658
2020-01-31,0.06482768250278818,1641
2020-02-28,-0.034182123468622067,1612
2020-03-31,0.29223913918810807,1551
2020-04-30,0.00649191551613552,1607
2020-05-29,0.19464659524318192,1630
2020-06-30,-0.08818109234727368,1647
2020-07-31,0.13448058428069756,1650
2020-08-31,-0.049879794986863825,1687
2020-09-30,0.057137410532890474,1691
2020-10-30,0.2423563131036964,1686
2020-11-30,0.06612769362899922,1787
2020-12-31,0.16888687983626574,1823
2021-01-29,0.07525715532896908,1893
2021-02-26,0.020071712369400762,1947
2021-03-31,-0.0921851906411726,1952
2021-04-30,0.0001573011418121324,1982
2021-05-28,0.03657074873689366,2060
2021-06-30,-0.2345964955166277,2092
2021-07-30,-0.015869279179666473,2073
2021-08-31,0.08051447416687178,2125
2021-09-30,-0.06568794640281192,2093
2021-10-29,-0.04076912546504404,2088
2021-11-30,-0.04752173881149311,2073
2021-12-31,0.05491105508466499,2066
2022-01-31,0.07118228767172524,2040
2022-02-28,0.05183311688968652,2036
2022-03-31,-0.03451180130026253,2019
2022-04-29,0.05324596805234371,1960
2022-05-31,-0.05677662383778215,1935
2022-06-30,0.13055606099386546,1899
2022-07-29,0.010465939290192816,1907
2022-08-31,-0.06959777860489111,1918
2022-09-30,0.05409234502824145,1857
2022-10-31,0.07005980230867213,1845
2022-11-30,0.030495640217897475,1822
2022-12-30,0.1501466828499784,1775
2023-01-31,0.015698118464765976,1791
2023-02-28,-0.08167282370368976,1746
2023-03-31,0.009746626855274396,1750
2023-04-28,0.024135548818871814,1732
2023-05-31,0.10678018209130605,1726
2023-06-30,0.268568587172534,1739
2023-07-31,-0.09752198153294814,1721
2023-08-31,-0.058826394538828916,1703
2023-09-29,-0.020795593215135594,1679
2023-10-31,0.15264920745215918,1626
2023-11-30,0.32939165577103324,1670
2023-12-29,-0.1355539622150871,1670
2024-01-31,-0.015621396628356413,1652
2024-02-29,0.016831265566213525,1645
2024-03-28,-0.10744473805127772,1635
2024-04-30,0.06270924054794962,1617
2024-05-31,-0.0758132035675151,1629
2024-06-28,0.11085739613719883,1628
2024-07-31,-0.05984966363685845,1640
2024-08-30,-0.023720305417895323,1644
2024-09-30,-0.08191934644340097,1639
2024-10-31,0.052880939292792264,1647
2024-11-29,4.7414027177227866e-05,1645
